question,answer,correct?
"Which of the following is a fruit","Pear","True"
"Which of the following is a fruit","Apple","True"
"Which of the following is a fruit","Mango","True"
"Which of the following is a fruit","Peach","True"
"Which of the following is a fruit","Cherry","True"
"Which of the following is a fruit","Durian","True"
"Which of the following is a fruit","Orange","True"
"Which of the following is a fruit","Lime","True"
"Which of the following is a fruit","Tomato","True"
"Which of the following is a fruit","Pepper","False"
"Which of the following is a fruit","Coconut","False"
"Which of the following is a fruit","Pumpkin","False"
"Which of the following is a fruit","Eggplant","False"
"Which of the following is a fruit","Cucumber","False"
"Which of the following is a fruit","Avocado","False"
"Which of the following is a fruit","Olive","False"
"Which of the following is an ancient greek deity?","Zeus","True"
"Which of the following is an ancient greek deity?","Hera","True"
"Which of the following is an ancient greek deity?","Hades","True"
"Which of the following is an ancient greek deity?","Artemis","True"
"Which of the following is an ancient greek deity?","Dionysus","True"
"Which of the following is an ancient greek deity?","Hestia","True"
"Which of the following is an ancient greek deity?","Persephone","True"
"Which of the following is an ancient greek deity?","Hecate","True"
"Which of the following is an ancient greek deity?","Apollo","True"
"Which of the following is an ancient greek deity?","Quetzalcoatl","False"
"Which of the following is an ancient greek deity?","Mars","False"
"Which of the following is an ancient greek deity?","Odin","False"
"Which of the following is an ancient greek deity?","Hercules","False"
"Which of the following is an ancient greek deity?","Shiva","False"
"Which of the following is an ancient greek deity?","Loki","False"
"Which of the following is an ancient greek deity?","Ceres","False"
"Which of the following is a vegetable?","Cabbage","True"
"Which of the following is a vegetable?","Broccoli","True"
"Which of the following is a vegetable?","Celery","True"
"Which of the following is a vegetable?","Zucchini","True"
"Which of the following is a vegetable?","Eggplant","True"
"Which of the following is a vegetable?","Pumpkin","True"
"Which of the following is a vegetable?","Bean","True"
"Which of the following is a vegetable?","Pepper","True"
"Which of the following is a vegetable?","Cucumber","True"
"Which of the following is a vegetable?","Apple","False"
"Which of the following is a vegetable?","Orange","False"
"Which of the following is a vegetable?","Kiwi","False"
"Which of the following is a vegetable?","Banana","False"
"Which of the following is a vegetable?","Grape","False"
"Which of the following is a vegetable?","Mango","False"
"Which of the following is a vegetable?","Watermelon","False"
"Which of the following is an animal?","Dog","True"
"Which of the following is an animal?","Cat","True"
"Which of the following is an animal?","Giraffe","True"
"Which of the following is an animal?","Fox","True"
"Which of the following is an animal?","Bear","True"
"Which of the following is an animal?","Sheep","True"
"Which of the following is an animal?","Racoon","True"
"Which of the following is an animal?","Tiger","True"
"Which of the following is an animal?","Rabbit","True"
"Which of the following is an animal?","Tomato","False"
"Which of the following is an animal?","Tree","False"
"Which of the following is an animal?","Milk","False"
"Which of the following is an animal?","Broccoli","False"
"Which of the following is an animal?","Beef","False"
"Which of the following is an animal?","Pork","False"
"Which of the following is an animal?","Avocado","False"
"Which of the following is a sport?","Football","True"
"Which of the following is a sport?","Badminton","True"
"Which of the following is a sport?","Baseball","True"
"Which of the following is a sport?","Basketball","True"
"Which of the following is a sport?","Volleyball","True"
"Which of the following is a sport?","Football","True"
"Which of the following is a sport?","Tennis","True"
"Which of the following is a sport?","Soccer","True"
"Which of the following is a sport?","Lacrosse","True"
"Which of the following is a sport?","Persephone","False"
"Which of the following is a sport?","Artemis","False"
"Which of the following is a sport?","Shiva","False"
"Which of the following is a sport?","Ceres","False"
"Which of the following is a sport?","Quetzalcoatl","False"
"Which of the following is a sport?","Dionysus","False"
"Which of the following is a sport?","Hades","False"
